epoch,train_mae,train_rmse,learning_rate,val_mae,val_rmse
1,0.7008951902389526,0.8979580998420715,0.01,0.7000066041946411,0.9035533666610718
2,0.67340487241745,0.8692653775215149,0.0098,0.6805570721626282,0.8850029110908508
3,0.659447193145752,0.8515739440917969,0.009604,0.6718879342079163,0.8758000135421753
4,0.6486569046974182,0.8384981155395508,0.009411919999999999,0.6671946048736572,0.8712952136993408
5,0.6397592425346375,0.8275688290596008,0.009223681599999999,0.6639219522476196,0.8678388595581055
6,0.6317424774169922,0.8176804184913635,0.009039207967999998,0.6621443033218384,0.8655897378921509
7,0.6251125335693359,0.8085847496986389,0.008858423808639998,0.659809410572052,0.8630325198173523
8,0.6186496615409851,0.8000513315200806,0.008681255332467197,0.6582695841789246,0.8613467216491699
9,0.6115490198135376,0.7906695604324341,0.008507630225817853,0.6568747758865356,0.8599210977554321
10,0.6060767769813538,0.782037615776062,0.008337477621301496,0.6563428640365601,0.8591195940971375
11,0.5982939004898071,0.7726920247077942,0.008170728068875466,0.6550396680831909,0.8584949970245361
12,0.5914449095726013,0.7635952830314636,0.008007313507497957,0.6543879508972168,0.857811689376831
13,0.5841977596282959,0.7534990906715393,0.007847167237347998,0.6532346606254578,0.8566855192184448
14,0.5768383741378784,0.7433592677116394,0.007690223892601038,0.6525706052780151,0.8555535674095154
15,0.5694800615310669,0.7335352301597595,0.007536419414749017,0.6519497036933899,0.8553633093833923
16,0.5620255470275879,0.7230333089828491,0.007385691026454037,0.652088463306427,0.8552306294441223
17,0.5545958280563354,0.7125083804130554,0.0072379772059249555,0.6516402363777161,0.8541792035102844
18,0.5461105704307556,0.7019954919815063,0.007093217661806457,0.6505403518676758,0.8538587093353271
19,0.5383455753326416,0.6914108991622925,0.006951353308570328,0.650334358215332,0.8533485531806946
20,0.5307483673095703,0.6811752319335938,0.006812326242398921,0.6495844125747681,0.852700412273407
21,0.5233849883079529,0.6709104180335999,0.006676079717550942,0.6495640277862549,0.8521641492843628
22,0.5159326195716858,0.660933792591095,0.006542558123199923,0.6495242118835449,0.8521391153335571
23,0.5084178447723389,0.6513516306877136,0.0064117069607359245,0.6490746140480042,0.8519867062568665
24,0.5014156103134155,0.641934335231781,0.006283472821521206,0.6494455337524414,0.8521500825881958
25,0.4945926368236542,0.6328787803649902,0.006157803365090782,0.6492111682891846,0.8517546653747559
26,0.4879343807697296,0.6240338683128357,0.006034647297788966,0.6489786505699158,0.8515963554382324
27,0.4814588129520416,0.615561842918396,0.005913954351833187,0.648948609828949,0.8516072034835815
28,0.4754117429256439,0.6074380874633789,0.0057956752647965225,0.6491992473602295,0.8515443205833435
29,0.469279408454895,0.5999054312705994,0.005679761759500592,0.6491016149520874,0.8515895009040833
30,0.4634957015514374,0.5920512080192566,0.00556616652431058,0.6493803858757019,0.851842999458313
