epoch,loss,mae,rmse,val_loss,val_mae,val_rmse,learning_rate,best_val_epoch,best_val_loss
1,0.5757260322570801,0.7481932044029236,0.9766532182693481,0.5326388478279114,0.7172970771789551,0.9522783756256104,0.0010000000474974513,5.0,0.4847073256969452
2,0.5176633596420288,0.7050298452377319,0.9406106472015381,0.5186010003089905,0.7066322565078735,0.9416634440422058,0.0010000000474974513,,
3,0.4673125445842743,0.6580806374549866,0.8870241045951843,0.4916289448738098,0.6794509291648865,0.905951201915741,0.0010000000474974513,,
4,0.41853684186935425,0.6113988757133484,0.8329037427902222,0.48540225625038147,0.6738356351852417,0.8979777097702026,0.0010000000474974513,,
5,0.3881271779537201,0.5819875597953796,0.7994219660758972,0.4847073256969452,0.6716157793998718,0.8962682485580444,0.0010000000474974513,,
6,0.3657383620738983,0.5598641037940979,0.7734147906303406,0.48772257566452026,0.6719119548797607,0.8979461789131165,0.0010000000474974513,,
7,0.34896618127822876,0.5427424907684326,0.753040611743927,0.48858729004859924,0.6701438426971436,0.8966892957687378,0.0010000000474974513,,
8,0.32872194051742554,0.5230076313018799,0.7296584248542786,0.4889371395111084,0.6688188314437866,0.8932567238807678,0.0005000000237487257,,
9,0.32084938883781433,0.5144500136375427,0.7197039723396301,0.49144741892814636,0.6707585453987122,0.8945848345756531,0.0005000000237487257,,
10,0.3139130771160126,0.5070662498474121,0.7106521129608154,0.4867785573005676,0.6679009795188904,0.891676127910614,0.0002500000118743628,,
11,0.30627861618995667,0.4989486038684845,0.7026220560073853,0.4867883026599884,0.6679221987724304,0.8918541073799133,0.0002500000118743628,,
12,0.3006942868232727,0.49313127994537354,0.6952425241470337,0.48761945962905884,0.6683269739151001,0.8924698233604431,0.0001250000059371814,,
13,0.2970539629459381,0.48967352509498596,0.6911092400550842,0.48819175362586975,0.6686097979545593,0.8927854895591736,0.0001250000059371814,,
14,0.2941913306713104,0.48603591322898865,0.6868042945861816,0.48891645669937134,0.669118344783783,0.893592357635498,6.25000029685907e-05,,
15,0.2933115065097809,0.4853321313858032,0.6856953501701355,0.48906031250953674,0.6691421866416931,0.8937627673149109,6.25000029685907e-05,,
16,0.29018425941467285,0.4818851351737976,0.6821129322052002,0.48933878540992737,0.6695137619972229,0.8945769667625427,3.125000148429535e-05,,
17,0.2901889979839325,0.4821759760379791,0.6823509335517883,0.4897117018699646,0.6697465181350708,0.8950998187065125,3.125000148429535e-05,,
18,0.28887373208999634,0.4806281626224518,0.6806079745292664,0.48967859148979187,0.6696449518203735,0.8948891162872314,1.5625000742147677e-05,,
19,0.2891886532306671,0.4811331033706665,0.6813035607337952,0.48981615900993347,0.6697072386741638,0.8950121402740479,1.5625000742147677e-05,,
20,0.28896984457969666,0.48035916686058044,0.6811349391937256,0.4897851049900055,0.6696621775627136,0.8949742913246155,9.999999747378752e-06,,
21,0.28845927119255066,0.4804114103317261,0.6801427006721497,0.4899022877216339,0.6697553992271423,0.8951346278190613,9.999999747378752e-06,,
22,0.28855133056640625,0.4804280698299408,0.6798911094665527,0.48988834023475647,0.6697280406951904,0.8951097726821899,9.999999747378752e-06,,
23,0.28744879364967346,0.4790765941143036,0.6798190474510193,0.4899170696735382,0.6696925163269043,0.895048975944519,9.999999747378752e-06,,
24,0.2883375883102417,0.48028749227523804,0.6802007555961609,0.4898938536643982,0.669634222984314,0.8949359059333801,9.999999747378752e-06,,
25,0.2877385914325714,0.47954222559928894,0.6788367033004761,0.48998793959617615,0.6697148084640503,0.8950799703598022,9.999999747378752e-06,,
26,0.2880955934524536,0.47990480065345764,0.6798883080482483,0.4900481700897217,0.6697838306427002,0.8952028751373291,9.999999747378752e-06,,
27,0.28659045696258545,0.4778498113155365,0.6784957647323608,0.4901078939437866,0.6698393225669861,0.8953016400337219,9.999999747378752e-06,,
28,0.2867257297039032,0.47807103395462036,0.6776407957077026,0.490183562040329,0.6698416471481323,0.8952765464782715,9.999999747378752e-06,,
29,0.2867765724658966,0.4782806932926178,0.6781327128410339,0.49021491408348083,0.6698392033576965,0.895244300365448,9.999999747378752e-06,,
30,0.2872445583343506,0.4785873293876648,0.6783440709114075,0.49026528000831604,0.6698589324951172,0.8952604532241821,9.999999747378752e-06,,
